17 SPENCER STREET,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017160018,06/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2016,996473,193713
3512 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076970043,02/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/24/2017,1000704,164336
1535 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065640075,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/20/2017,991400,163492
1001 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17,2027150029,03/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1013340,239229
798 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,08,2027290072,01/29/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/18/2017,1012921,236623
1897 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016540045,01/20/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/28/2017,999396,227353
7819 NEW UTRECTH AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062590074,01/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,984062,162673
2393 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073150046,01/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2017,995020,157451
551 EAST  169 STREET,BRONX,03 BRONX,Precinct 42,16,2029250092,01/25/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/08/2017,1010775,242579
92-32 UNION HALL STREET,QUEENS,12 QUEENS,Precinct 103,27,4101010027,11/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1040354,195744
207 STARR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031880056,12/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,1005533,196143
227 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002700032,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/27/2017,987461,198963
6 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220040,10/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/26/2017,1000138,233131
