,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
0,17 SPENCER STREET,BROOKLYN,03 BROOKLYN,Precinct 79,33.0,3017160018.0,06/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2016,996473.0,193713.0
1,3512 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45.0,3076970043.0,02/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/24/2017,1000704.0,164336.0
2,1535 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3065640075.0,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/20/2017,991400.0,163492.0
3,1001 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17.0,2027150029.0,03/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1013340.0,239229.0
4,798 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,8.0,2027290072.0,01/29/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/18/2017,1012921.0,236623.0
5,1897 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,1016540045.0,01/20/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/28/2017,999396.0,227353.0
6,7819 NEW UTRECTH AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3062590074.0,01/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,984062.0,162673.0
7,2393 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3073150046.0,01/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2017,995020.0,157451.0
8,551 EAST  169 STREET,BRONX,03 BRONX,Precinct 42,16.0,2029250092.0,01/25/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/08/2017,1010775.0,242579.0
9,92-32 UNION HALL STREET,QUEENS,12 QUEENS,Precinct 103,27.0,4101010027.0,11/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1040354.0,195744.0
10,207 STARR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031880056.0,12/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,1005533.0,196143.0
11,227 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002700032.0,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/27/2017,987461.0,198963.0
