year,population,newborn,birthrate,marriage,marriagerate,death,deathrate,infantdeath,infantmortality,,
2014.00,8491079.00,122084.00,14.40,78409.00,9.20,53034.00,6.20,516.00,4.20,,
2013.00,8405837.00,120457.00,14.30,77678.00,9.20,53409.00,6.40,551.00,4.60,,
2012.00,8336697.00,123231.00,14.80,74362.00,8.90,52455.00,6.30,583.00,4.70,,
2011.00,8244910.00,123029.00,14.90,71401.00,8.70,52789.00,6.40,577.00,4.70,,
2010.00,8175133.00,124791.00,15.30,67051.00,8.20,52575.00,6.40,609.00,4.90,,
2009.00,8132000.00,126774.00,15.60,65542.00,7.80,52881.00,6.30,668.00,5.30,,
2008.00,8068000.00,127680.00,15.80,66670.00,8.00,54193.00,6.50,698.00,5.50,,
2007.00,8014000.00,128961.00,16.10,66483.00,8.00,54073.00,6.50,697.00,5.40,,
2006.00,7994000.00,125506.00,15.70,65619.00,8.00,55391.00,6.70,740.00,5.90,,
2005.00,8013000.00,122725.00,15.30,66348.00,8.10,57068.00,6.90,732.00,6.00,,
